,code,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,display_name,log_price_rate
1455,4761,10303355904.0,Technology,1109.0,0.64287287,23833000000.0,473000000.0,2020.0,さくらケーシーエス,ＳＩ・ソフトウェア開発,〒650-0036 神戸市中央区播磨町２１−１,34.684532,135.19480900000002,4761 さくらケーシーエス,-0.014484071253553003
1456,4762,8042902528.0,Technology,187.0,1.1830037,4670000000.0,515000000.0,2020.0,エックスネット,金融サービス,〒160-0007 東京都新宿区荒木町１３−４ 住友不動産四谷ビル,35.686741,139.726898,4762 エックスネット,0.03737721220742965
1457,4763,23326803968.0,Industrials,1692.0,2.451843,32946000000.0,1359000000.0,2020.0,クリーク・アンド・リバー社,他産業サービス・製品,〒105-0004 東京都港区新橋４−１−１ 新虎通りＣＯＲＥ,35.662113388202,139.75699454594,4763 クリーク・アンド・リバー社,-0.0038408529541284382
1458,4764,5280288768.0,Industrials,36.0,2.8790970000000002,863666630.0,-424999878.0,2019.0,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ,ＳＩ・ソフトウェア開発,〒105-0001 東京都港区虎ノ門１−７−１２ 虎ノ門ファーストガーデン,35.666410005089,139.75261888842,4764 ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ,0.18703854667209346
1459,4765,43043233792.0,Financial Services,117.0,4.401368,6814000000.0,1230000000.0,2020.0,モーニングスター,金融サービス,〒106-6015 東京都港区六本木１−６−１ 泉ガーデンタワー,35.661362,139.742661,4765 モーニングスター,0.13356874159462906
1460,4766,2000039424.0,Industrials,176.0,2.936672,2264000000.0,-65000000.0,2019.0,ピーエイ,他産業サービス・製品,〒112-0005 東京都文京区水道１−１２−１５ 白鳥橋三笠ビル,35.70589099999999,139.74688700000002,4766 ピーエイ,-0.2001261814274613
1461,4767,12762051584.0,Communication Services,217.0,1.250936,19325000000.0,1584000000.0,2020.0,テー・オー・ダブリュー,他産業サービス・製品,〒105-0001 東京都港区虎ノ門４−３−１３ ヒューリック神谷町ビル,35.660545,139.74733,4767 テー・オー・ダブリュー,-0.5154913024654987
1462,4768,948010024960.0,Technology,8912.0,3.5603987999999998,886536000000.0,43497000000.0,2019.0,大塚商会,ＳＩ・ソフトウェア開発,〒102-8573 東京都千代田区飯田橋２−１８−４,35.696556,139.754089,4768 大塚商会,0.240996932835924
1463,4769,5613257728.0,Technology,,1.0663486999999998,8487000000.0,643000000.0,2020.0,インフォメーションクリエーティブ,ＳＩ・ソフトウェア開発,〒140-0013 東京都品川区南大井６−２２−７ 大森ベルポートＥ館,35.586128,139.735672,4769 インフォメーションクリエーティブ,0.034433227741114285
1464,4770,2074030208.0,Technology,121.0,2.3988311,1216806000.0,-610321000.0,2010.0,図研エルミック,ＳＩ・ソフトウェア開発,〒222-8505 横浜市港北区新横浜３−１−１ 図研新横浜ビル,35.507866,139.624954,4770 図研エルミック,-0.13043061494627445
1465,4771,22746523648.0,Industrials,488.0,2.9796124,7563000000.0,664000000.0,2020.0,エフアンドエム,他産業サービス・製品,〒564-0063 大阪府吹田市江坂町１−２３−３８,34.755283,135.50032,4771 エフアンドエム,0.2691517790510686
1466,4772,33124921344.0,Communication Services,45.0,3.0108817,4533000000.0,13000000.0,2016.0,ストリームメディアコーポレーション,他消費財小売り,〒106-6222 東京都港区六本木３−２−１ 住友不動産六本木グランドタワー,35.66135000288,139.74099721996998,4772 ストリームメディアコーポレーション,-0.03267078228954871
1467,4776,132358897664.0,Technology,741.0,17.828561999999998,13417000000.0,1012000000.0,2019.0,サイボウズ,パッケージソフト,〒103-6027 東京都中央区日本橋２−７−１ 東京日本橋タワー,35.679036110063,139.77708889074,4776 サイボウズ,0.5570570248135052
1468,4777,3907463936.0,Communication Services,62.0,14.365801999999999,412000000.0,-432000000.0,2020.0,ガーラ,通信サービス,〒150-0001 東京都渋谷区神宮前６−１２−１８ ＷｅＷｏｒｋ　Ｉｃｅｂｅｒｇ,35.66310550540656,139.70743330614835,4777 ガーラ,-0.33783835705225634
1469,4779,25372147712.0,Technology,263.0,5.1538115,9894000000.0,764000000.0,2019.0,ソフトブレーン,パッケージソフト,〒103-0027 東京都中央区日本橋１−１３−１ 日鉄日本橋ビル,35.679048625535,139.77878723074,4779 ソフトブレーン,
1470,4781,59489341440.0,Real Estate,2790.0,1.8008521,116565000000.0,4075000000.0,2020.0,日本ハウズイング,不動産（住宅）,〒160-8410 東京都新宿区新宿１−３１−１２,35.686993,139.715012,4781 日本ハウズイング,0.13482453606652425
1471,4783,4296281088.0,Technology,923.0,1.1020821,18390000000.0,648000000.0,2020.0,日本コンピュータ・ダイナミクス,ＳＩ・ソフトウェア開発,〒141-0031 東京都品川区西五反田４−３２−１,35.62342800000001,139.717621,4783 日本コンピュータ・ダイナミクス,-0.4027425972427399
1472,4784,11393938432.0,Technology,573.0,2.1075127,34538000000.0,240000000.0,2019.0,ＧＭＯアドパートナーズ,メディア,〒150-0043 東京都渋谷区道玄坂１−２−３,35.654463643155,139.70362944451,4784 ＧＭＯアドパートナーズ,0.41304156318316565
1473,4792,19131187200.0,Industrials,790.0,1.6798956000000003,13576000000.0,1233000000.0,2020.0,山田コンサルティンググループ,他産業サービス・製品,〒100-0005 東京都千代田区丸の内１−８−１ 丸の内トラストタワーＮ館,35.679947,139.77301,4792 山田コンサルティンググループ,-0.4730668840049727
